STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 00:53,FM-15,BKN:07 200,10.00,,33,0.6,32,-0.1,30,-1.1,89,7,010,,29.83,1,,30.33,0.00,30.30,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 01:53,FM-15,BKN:07 180,10.00,,34,1.1,32,0.3,30,-1.1,85,7,030,,29.84,,,30.34,0.00,30.31,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 02:53,FM-15,BKN:07 200,10.00,,34,1.1,32,0.0,29,-1.7,82,10,030,,29.85,,,30.35,0.00,30.32,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 03:53,FM-15,SCT:04 200,10.00,,32,0.0,31,-0.6,29,-1.7,88,7,360,,29.86,1,,30.36,0.00,30.33,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 04:00,FM-12,,,,32,0.0,31,-0.6,29,-1.7,88,7,360,,29.85,1,-0.03,30.36,,,43,32,37,-3.8,,,,28,0,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 04:53,FM-15,BKN:07 200,10.00,,32,0.0,31,-0.6,29,-1.7,88,5,020,,29.86,,,30.36,0.00,30.33,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 05:53,FM-15,FEW:02 160 BKN:07 230,10.00,,33,0.6,31,-0.5,28,-2.2,82,8,030,,29.88,,,30.38,0.00,30.35,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 06:53,FM-15,FEW:02 120 BKN:07 190,9.00,BC:3 FG:2 |FG:31 |,32,0.0,31,-0.6,29,-1.7,88,8,060,,29.89,3,,30.40,0.00,30.36,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 07:53,FM-15,FEW:02 12 SCT:04 190 BKN:07 250,10.00,,32,0.0,31,-0.8,28,-2.2,85,10,030,,29.91,,,30.41,0.00,30.38,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 08:53,FM-15,FEW:02 15 SCT:04 180 SCT:04 250,10.00,,33,0.6,31,-0.3,29,-1.7,85,8,010,,29.92,,,30.42,0.00,30.39,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 09:53,FM-15,FEW:02 15 FEW:02 180 BKN:07 250,10.00,,36,2.2,34,0.9,30,-1.1,79,9,010,,29.93,3,,30.44,0.00,30.40,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 10:00,FM-12,15,,,36,2.2,34,0.9,30,-1.1,79,9,010,,29.92,3,-0.04,30.44,,,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 10:53,FM-15,FEW:02 20 FEW:02 120 BKN:07 230,10.00,,37,2.8,35,1.5,31,-0.6,79,6,350,,29.93,,,30.44,0.00,30.40,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 11:53,FM-15,FEW:02 25 FEW:02 120 BKN:07 220,10.00,,39,3.9,35,1.9,30,-1.1,70,8,010,,29.92,,,30.43,0.00,30.39,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 12:53,FM-15,FEW:02 120 BKN:07 250,10.00,,41,5.0,37,2.5,30,-1.1,65,8,020,,29.91,8,,30.41,0.00,30.38,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 13:53,FM-15,FEW:02 120 BKN:07 250,10.00,,43,6.1,38,3.4,31,-0.6,63,8,010,,29.91,,,30.41,0.00,30.38,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 14:53,FM-15,FEW:02 120 BKN:07 250,10.00,,43,6.1,38,3.6,32,0.0,65,9,020,,29.93,,,30.43,0.00,30.40,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 15:53,FM-15,FEW:02 120 SCT:04 250,10.00,,41,5.0,37,2.9,32,0.0,70,8,010,,29.93,3,,30.43,0.00,30.40,,,,,,,,,,0757,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 16:00,FM-12,,,,41,5.0,37,2.9,32,0.0,70,8,010,,29.92,3,-0.02,30.43,,,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 16:53,FM-15,FEW:02 120 SCT:04 250,10.00,,38,3.3,35,1.8,31,-0.6,76,7,340,,29.94,,,30.44,0.00,30.41,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 17:53,FM-15,FEW:02 250,10.00,,38,3.3,35,1.8,31,-0.6,76,10,010,,29.93,,,30.44,0.00,30.40,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 18:53,FM-15,CLR:00,10.00,,37,2.8,35,1.7,32,0.0,82,10,020,,29.93,0,,30.44,0.00,30.40,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 19:53,FM-15,CLR:00,10.00,,36,2.2,34,1.1,31,-0.6,82,11,020,,29.93,,,30.43,0.00,30.40,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 20:53,FM-15,CLR:00,10.00,,35,1.7,33,0.6,30,-1.1,82,11,020,,29.92,,,30.43,0.00,30.39,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 21:53,FM-15,CLR:00,10.00,,35,1.7,33,0.8,31,-0.6,85,11,020,,29.92,6,,30.43,0.00,30.39,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 22:00,FM-12,,,,35,1.7,33,0.8,31,-0.6,85,11,020,,29.91,6,+0.01,30.43,,,41,32,36,-4.8,,,,29,0,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 22:53,FM-15,CLR:00,10.00,,35,1.7,33,0.6,30,-1.1,82,9,020,,29.93,,,30.43,0.00,30.40,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 23:53,FM-15,FEW:02 250,10.00,,35,1.7,33,0.6,30,-1.1,82,10,020,,29.93,,,30.43,0.00,30.40,44,31,37,-3.8,,,,28,0,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-01 23:59,SOD,,,,,,,,,,,,,,,,,,,,44,31,38,-2.8,80,30,34,27,0,0757,1630,FG:01,0.00,0.0,0,29.91,30.40,8.7,17,020,15,020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 00:53,FM-15,SCT:04 250,10.00,,34,1.1,32,0.3,30,-1.1,85,10,020,,29.93,0,,30.43,0.00,30.40,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 01:53,FM-15,SCT:04 250,10.00,,35,1.7,33,0.6,30,-1.1,82,15,020,,29.93,,,30.43,0.00,30.40,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 02:53,FM-15,BKN:07 240,10.00,,35,1.7,33,0.6,30,-1.1,82,13,020,,29.93,,,30.43,0.00,30.40,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 03:53,FM-15,BKN:07 240,10.00,,35,1.7,33,0.6,30,-1.1,82,14,010,,29.92,8,,30.42,0.00,30.39,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 04:00,FM-12,,,,35,1.7,33,0.6,30,-1.1,82,14,010,,29.91,8,+0.01,30.42,,,44,34,39,-1.9,,,,26,0,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 04:53,FM-15,BKN:07 240,10.00,,35,1.7,33,0.8,31,-0.6,85,10,010,,29.91,,,30.41,0.00,30.38,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 05:53,FM-15,BKN:07 200,10.00,,35,1.7,33,0.6,30,-1.1,82,14,020,,29.90,,,30.40,0.00,30.37,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 06:53,FM-15,BKN:07 240,10.00,,36,2.2,34,0.9,30,-1.1,79,10,020,,29.88,8,,30.38,0.00,30.35,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 07:53,FM-15,BKN:07 210,10.00,,35,1.7,33,0.6,30,-1.1,82,11,020,,29.88,,,30.38,0.00,30.35,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 08:53,FM-15,BKN:07 170 OVC:08 220,10.00,,37,2.8,34,1.2,30,-1.1,76,9,010,,29.87,,,30.38,0.00,30.34,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 09:53,FM-15,SCT:04 160 OVC:08 200,10.00,,38,3.3,35,1.8,31,-0.6,76,5,350,,29.87,5,,30.38,0.00,30.34,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 10:00,FM-12,,,,38,3.3,35,1.8,31,-0.6,76,5,350,,29.86,5,+0.01,30.38,,,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 10:53,FM-15,FEW:02 150 OVC:08 190,10.00,,40,4.4,36,2.4,31,-0.6,70,5,040,,29.86,,,30.36,0.00,30.33,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 11:53,FM-15,BKN:07 180 OVC:08 250,10.00,,41,5.0,37,2.7,31,-0.6,67,6,020,,29.84,,,30.34,0.00,30.31,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 12:53,FM-15,BKN:07 170 OVC:08 250,10.00,,43,6.1,38,3.6,32,0.0,65,5,300,,29.83,6,,30.33,0.00,30.30,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 13:53,FM-15,BKN:07 150 OVC:08 250,10.00,,43,6.1,38,3.1,30,-1.1,60,6,030,,29.80,,,30.30,0.00,30.27,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 14:53,FM-15,BKN:07 150 OVC:08 250,10.00,,43,6.1,39,3.8,33,0.6,68,5,350,,29.80,,,30.30,0.00,30.27,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:24233,SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,112.8,47.4444,-122.3138,2018-01-02 15:53,FM-15,BKN:07 140 OVC:08 250,10.00,,42,5.6,38,3.2,32,0.0,68,6,360,,29.80,6,,30.30,0.00,30.27,,,,,,,,,,0757,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
