timecode	yday	degC	Pa	pressAltComp
1529815303	174	21.9	101124	16.99780508993672
1529815803	174	22.0	101137	15.99716596410338
1529816303	174	21.9	101137	16.163932475294217
1529816803	174	21.9	101125	15.66364095269947
1529817303	174	21.9	101120	17.748347533917112
1529817803	174	21.8	101111	17.831744477843195
1529818303	174	21.8	101106	18.081939316788606
1529818803	174	21.8	101109	18.582347027977466
1529819303	174	21.8	101104	18.081939316788606
1529819803	174	21.9	101092	18.41554178586736
1529820303	174	21.8	101099	19.082778785712822
1529820803	174	21.8	101087	19.83347151525162
1529821303	174	21.8	101077	20.50079937469392
1529821803	174	21.7	101084	20.33396340066309
1529822303	174	22.0	101088	19.58323459258344
1529822803	174	22.4	101079	20.751058347532727
1529915775	175	21.9	100440	74.02611826824608
1529916275	175	21.9	100440	74.27766768120182
1529916775	175	21.9	100429	74.86463997189382
1529917275	175	21.8	100432	74.61307636249457
1529917775	175	21.8	100414	75.36778544525157
1529918275	175	21.8	100414	75.61936730986466
1529918775	175	21.7	100426	75.03235242522075
1529919275	175	21.6	100440	74.44537066980327
1529919775	175	21.6	100430	75.11620966603788
1529920275	175	21.5	100436	74.44537066980327
1529920775	175	21.4	100437	75.28392617604345
1529921275	175	21.3	100425	74.69693022289792
1529921775	175	21.3	100438	73.85842203943373
1529922275	175	21.2	100451	73.27150652992387
1529922775	175	21.1	100460	71.84627815784381
1529923275	175	21.1	100484	70.25360692706293
1529923775	175	21.0	100493	69.66689478270483
1529924275	175	21.0	100497	69.24783493966504
1529924775	175	20.9	100510	68.57737430403762
1529925275	175	20.9	100493	69.08021572940105
1529925775	175	20.9	100490	69.41545685099703
1529926275	175	20.8	100500	68.91259922010661
1529926775	175	20.7	100505	69.08021572940105
1529927275	175	20.7	100512	67.1527889190875
1529927775	175	20.7	100522	67.32037707407058
1529928275	175	20.6	100532	66.56625163733557
1529928775	175	20.6	100532	65.47705584502762
1529929275	175	20.6	100538	65.72839859840343
1529929775	175	20.5	100544	65.05816475030473
1529930275	175	20.4	100551	64.80683818947269
1529930775	175	20.4	100559	64.30420328230585
1529931275	175	20.3	100552	64.22043315877039
1529931775	175	20.3	100555	64.55551770024964
1529932275	175	20.3	100575	62.79644425308105
1529932775	175	20.2	100588	62.04264667416191
1529933275	175	20.2	100592	61.45639742523568
1529933775	175	20.2	100592	60.870181209037675
1529934275	175	20.1	100605	59.78158157404775
1529934775	175	20.1	100612	59.36291973346552
1529935275	175	20.1	100629	58.44192297946341
1529935775	175	20.0	100625	57.26986318809914
1529936275	175	19.9	100638	58.023315040291344
1529936775	175	19.9	100647	56.349051678532966
1529937275	175	19.9	100665	55.846825199465684
1529937775	175	19.9	100676	55.344622960118436
1529938275	175	19.8	100676	53.92184822755839
1529938775	175	19.8	100690	52.49926800562167
1529939275	175	19.8	100696	51.41154374903065
1529939775	175	19.8	100716	50.90955551368168
1529940275	175	19.8	100722	49.654690855963075
1529940775	175	19.8	100740	48.65090806549819
1529941275	175	19.9	100742	47.56358595492468
1529941775	175	19.9	100759	47.229048159119614
1529942275	175	20.0	100773	46.4763774340944
1529942775	175	20.0	100789	45.222047176282736
1529943275	175	20.0	100795	44.135083220236936
1530345415	180	21.8	101208	8.995382647750764
